url,raw_content
https://www.lsm.lv/raksts/zinas/latvija/09.05.2026-vermanes-darza-atzime-eiropas-dienu.a646390/,"Visā Eiropā sestdien, 9. maijā, svin Eiropas dienu. Rīgā lielākais pasākums notika Vērmanes dārzā, kas ietvēra koncertus, diskusijas un citas aktivitātes, kas deva iespēju tuvāk iepazīt Eiropas Savienības (ES) sniegtās iespējas un dalībvalstu kultūru un tradīcijas."
https://www.delfi.lv/life/42051922/sovbizness/120117432/noklausies-jau-tagad-visas-eirovizijas-dziesmas-vienuviet,"Jau pavisam drīz mēs būsim ieslīguši dziesmu konkursa ""Eirovīzija"" virpulī. 12. maijā, kad konkurss sāksies, notiks pirmais pusfināls. Latvijas pārstāve Atvara ar dziesmu ""Ēnā"" startēs otrajā pusfinālā, kas norisināsies 14. maijā, savukārt fināls, kurā tiks noskaidrots konkursa uzvarētājs, būs 16. maijā. Tikmēr mēs jau laikus jūs aicinām ieskandināt ""Eirovīzijas"" dziesmas un saprast, kurš ir jūsu favorīts."
https://www.delfi.lv/193/politics/120117664/reportaza-no-dzimtas-majam-vidzemes-jurmalas-krasta-te-vetras-piederas-pie-lietas,"""Tāda vētra, ka jūra kaut ko izskalo, ir ļoti reti. Pēdējā bija 2005. gadā. Izrāva cauruli, ceļus izjauca ārā,"" atminas Ieva Jansone, kura uzņem ""Delfi"" dzimtas mājās Liepupes pagastā vien dažus desmitus metru no pirmajiem jūras viļņiem. Stiprs vējš gan šejieniešiem nav nekāds retums. ""Tādi balti viļņi, viens uz otra. Skaisti jau, skaisti. Un gulbji pa starpām,"" aprīļa pēdējās nogales spēcīgās brāzmas ar patīkamu sajūsmu atminas kaimiņiene Ruta.
Pēdējos divos gadu desmitos stipru vētru aktivitāte tiešām ir mazinājusies, bet krastu eksperts ar ilggadēju pieredzi Jānis Lapinskis saka, ka esam pārmaiņu laikā un stiprākas vētras agrāk vai vēlāk atgriezīsies. Par nozīmīgu krasta eroziju var sākt domāt, ja vēja ātrums sasniedz vismaz 20–22 m/s un pieturas ilgstoši, piebilst Lapinskis: ""Ļoti cietu garantiju nedošu, bet ticams, ka kaut kur starp Vitrupi un Tūju, kur ir Ķurmrags, kādus 100 gadus jūrai vajadzēs, lai noskrubinātu 100 metrus."""
https://www.delfi.lv/life/56010800/notikumi/120116922/sova-koru-kari-finala-neieklust-madonas-zalais-koris-un-finkis,"Svētdien, 3. maijā, ar spilgtiem un skanīgiem priekšnesumiem aizvadīts šova ""Koru kari"" pusfināls, kurā trīs līdz šim labākie kori, katrs izpildot divas dziesmas, sacentās par iekļūšanu finālā. Apkopojot balsojuma rezultātus, tika noskaidrots, ka šovu jāatstāj Madonas zaļajam korim ar Fiņķi, portālu ""Delfi"" informēja raidījuma veidotāji."
https://www.delfi.lv/kultura/32026447/culturenvironment/120117656/kalvina-harisa-un-a-ap-rocky-koncertu-atbalstam-pasvaldiba-pieskirusi-190-tukstosus-eiro,"Rīgas pašvaldība piešķīrusi atbalstu 190 000 eiro apmērā amerikāņu repera A$AP Rocky un skotu dīdžeja Kalvina Harisa koncertu rīkošanai galvaspilsētā, piektdien, 8. maijā, vēsta Latvijas Televīzijas raidījums ""Kultūršoks"". Finansējums piešķirts, lai veicinātu tūristu piesaisti Rīgai. Raidījuma uzrunātie koncertu rīkošanas nozares pārstāvji nesūdzas par tirgus kropļošanu, taču vietējās tūrisma industrijas pārstāvji šaubās, vai lielkoncerti ir īstais veids, kā sagādāt Rīgai vajadzīgos tūristus."
https://www.delfi.lv/kultura/52862727/screen/120117559/latvijas-delegacija-un-filma-ula-dodas-uz-prestizo-kannu-kinofestivalu,"Otrdien, 12. maijā, Francijā sāksies pasaulslavenais Kannu kinofestivāls, un Latvijas spilgtākais sasniegums šogad ir Viestura Kairiša spēlfilmas ""Uļa"" iekļaušana konkursā ""Īpašais skatiens / Un certain regard"", bet festivāla norisēs un filmu tirgū aktīvi piedalās arī citi Latvijas filmu nozares profesionāļi, portālu ""Delfi"" informē Nacionālā kino centra pārstāve Kristīne Matīsa.
Pasaulē nozīmīgākais kinofestivāls Kannās šogad notiek jau 79. reizi, un pasaules pirmizrāde šajā kinoindustrijas epicentrā ir ievērojams sasniegums. Kā jau ziņots, Latvijas studijā ""Ego Media"" producētā spēlfilma, Latvijas, Polijas, Igaunijas un Lietuvas kopražojums ""Uļa / Ulya"", kas veidota pēc galvenās lomas tēlotāja, aktiera Kārļa Arnolda Avota ieceres, atlasīta vienam no diviem galvenajiem Kannu konkursiem, filmas pasaules pirmizrāde notiks 21. maijā. Tai paredzēts arī tirgus seanss, norāda Matīsa.
Spēlfilma ""Uļa"" ir oriģināls un konceptuāls kinodarbs, kura ieceres pamatā ir aktiera Kārļa Arnolda Avota ideja un vēlēšanās nospēlēt šo emocionālo un dramatisko neparastas pusaudzes identitātes meklējumu stāstu, kas balstīts leģendārās Latvijas basketbolistes Uļjanas Semjonovas biogrāfijā. Melnbaltās filmas darbība risinās 60. gadu beigās. Radošajā komandā līdz ar režisoru Viesturu Kairišu ir poļu kinooperators Vojcehs Starons un māksliniece Ieva Jurjāne, filmas producents – Guntis Trekteris. Filmas nacionālā pirmizrāde Latvijā gaidāma šāgada rudenī."
https://www.delfi.lv/kultura/4333423/theatre/120117579/pirmizradi-piedzivos-jauns-liepajas-radioteatra-iestudejums-piecas-dalas,"Latvijas Radio 1. kanālā no 12. līdz 16. maijam izskanēs jauns Liepājas radioteātra iestudējums, ko pēc Virdžīnijas Lejiņas romāna ""Reizēm. Vienmēr. Nekad"" iestudējusi aktrise un režisore Karīna Tatarinova.
2020. gadā, kad pasauli pārņēma pandēmija un satikšanās teātrī vairs nebija iespējama, Liepājas teātra aktrise Karīna Tatarinova nolēma izveidot Liepājas radioteātri, kurā radīt latviešu autoru iestudējumus profesionālu aktieru izpildījumā. Viņas režijā šo sešu gadu laikā tapušas vairākas radioizrādes, kam par pamatu ņemti stāsti, gan romāni, kas ierakstīti vairākos turpinājumos.
Šogad piecos turpinājumos tapusi radio izrāde ""Kur tas vējš ir aprakts un no kuras puses pūš tas suns?"", kam par pamatu ņemts Virdžīnijas Lejiņas romāns ""Reizēm. Vienmēr. Nekad"". Darbs pie šī radioiestudējuma noticis vairākus mēnešus, ieraksta laiks aizņems vairāk nekā četras stundas, tāpēc pirmatskaņojums gaidāms piecus vakarus pēc kārtas Latvijas Radio 1 ēterā laika posmā no 12. līdz 16. maijam pulksten 22.05. Pēc tam visas sērijas būs iespējams noklausīties radio arhīvā."
https://www.delfi.lv/kultura/2094270/books/120115508/riga-sakas-piektais-starptautiskais-dzejas-festivals-page-break,"No 22. līdz 25. aprīlim Rīgā notiekošais 5. starptautiskais dzejas festivāls ""Page Break"" pulcēs 15 starptautiski pazīstamus dzejniekus vairāk nekā 10 daudzveidīgos dzejai veltītos pasākumos.
Festivāla centrālie publiskie notikumi būs dzejas lasījumi kino ""Splendid Palace"" un noslēguma dzejkoncerts, portālu ""Delfi"" informē festivāla rīkotāja Madara Gruntmane no ""I Did It"".
23. aprīlī pulksten 19 kino ""Splendid Palace"" ""Straumes"" zālē dzejas lasījumos piedalīsies Nīls Hāvs no Dānijas, Elizabete Duvala no Spānijas, Alesandro Mistrorigo no Itālijas, Anna Julian Mendlik no Vācijas, Reičela Devoskina no ASV, kā arī latviešu dzejnieki Elvīra Bloma un Ilmārs Šlāpins.
"
https://www.delfi.lv/193/politics/120117514/beigas-zalmaldinasanai-rudeni-uznemumiem-bus-stingraki-noteikumi,"Mārketingā arvien biežāk tiek lietoti tādi apzīmējumi kā ""videi draudzīgs"", ""zaļš"", ""ekoloģisks"" vai ""ilgtspējīgs"". Tomēr bieži vien šie apgalvojumi nav pietiekami skaidri vai pamatoti. Turpmāk vides un ilgtspējas norādēm būs jābūt precīzām, saprotamām un balstītām uz pārbaudāmiem pierādījumiem, brīdina Patērētāju tiesību aizsardzības centra (PTAC).
No 2026. gada 27. septembra stāsies spēkā grozījumi Negodīgas komercprakses aizlieguma likumā, ieviešot stingrākas prasības zaļo norāžu, ilgtspējas marķējumu un ar vidi saistītu apgalvojumu izmantošanai komercpraksē. To mērķis ir mazināt maldinošu informāciju, stiprināt patērētāju uzticēšanos un nodrošināt godīgu konkurenci.
Jaunie noteikumi paredz, ka:
vides apgalvojumiem jābūt konkrētiem un attiecināmiem uz noteiktu produkta vai pakalpojuma aspektu, nevis vispārīgiem;
tiem jābalstās uz ticamiem datiem, piemēram, testiem, dzīves cikla analīzi vai neatkarīgu izvērtējumu;
aizliegto prakšu saraksts papildināts ar konkrētām praksēm, kas maldina patērētāju;
ilgtspējas marķējumi būs pieļaujami tikai tad, ja tie balstīti uz neatkarīgu sertifikāciju un skaidriem, publiski pieejamiem kritērijiem.
Par uzticamiem tiks uzskatīti, piemēram, atzīti Eiropas Savienības (ES) vai starptautiski ekomarķējumi, savukārt pašizdomāti vai nepārbaudīti marķējumi nebūs pieļaujami."
https://www.delfi.lv/193/politics/120115365/sak-atjaunot-lu-galveno-eku-raina-bulvari,"Sākta Latvijas Universitātes (LU) galvenās ēkas Rīgā, Raiņa bulvārī 19, atjaunošana. Tās gaitā tiks uzlabota ēkas energoefektivitāte, vienlaikus saglabājot tās kultūrvēsturisko vērtību, jo ēka ir valsts nozīmes arhitektūras piemineklis, portālu ""Delfi"" informēja LU.
Projekts ""Siltumnīcefekta gāzu emisiju samazināšana Latvijas Universitātes ēkā Raiņa bulvārī 19, Rīgā"" notiek saskaņā ar LU Nekustamo īpašumu attīstības plānu.
Tā izmaksas ir 4,8 miljoni eiro. Būtisku atbalstu nodrošina Emisijas kvotu izsolīšanas instruments (EKII), kas līdzfinansē projektu 3,4 miljonu eiro apmērā jeb aptuveni 70% no attiecināmajām izmaksām. Savukārt LU ieguldījums projektā ir 1,4 miljoni eiro."
