url,raw_context
https://en.wikipedia.org/wiki/2025_FIFA_Club_World_Cup,"The 2025 FIFA Club World Cup, also marketed as FIFA Club World Cup 25, was the 21st edition of the FIFA Club World Cup, an international club soccer competition organized by FIFA. This was also the first edition under the new expanded format. The tournament was held in the United States from June 14 to July 13, 2025, and featured 32 teams. The expanded format included the continental champions from the past four years as well as additional qualified teams. Chelsea won the tournament, defeating Paris Saint-Germain 3–0 in the final and becoming the inaugural world champions under the expanded format."
https://en.wikipedia.org/wiki/2025_Atlantic_hurricane_season,"The 2025 Atlantic hurricane season was an annual cycle of tropical cyclone formation in the Atlantic basin, featuring bursts of intense tropical cyclone development over warmer-than-normal waters between long and quiet stretches with low tropical activity. Three Category 5 hurricanes formed this season, the second most of any year on record, behind only the 2005 season, which had four. Among the three was Hurricane Melissa, the strongest tropical cyclone of the year globally, among the most intense Atlantic hurricanes on record, as well as the strongest tropical cyclone to make landfall in Jamaica on record. Due in large part to these systems, and despite a below-average number of named storms and hurricanes, the season had an above-normal accumulated cyclone energy (ACE) rating of 130.8 units. "
https://en.wikipedia.org/wiki/2025_IIHF_World_Championship,"The 2025 IIHF World Championship was co-hosted by Stockholm, Sweden, and Herning, Denmark, from 9 to 25 May 2025. This decision regarding Sweden was made at the 2018 semi-annual International Ice Hockey Federation (IIHF) congress in Malta, and was officially announced on 24 May 2019, at the IIHF's annual congress during the World Championships in Bratislava, Slovakia.[2] At the same time, it was announced that Denmark would co-host the championship.[3]"
https://en.wikipedia.org/wiki/2025_Polish_presidential_election,"Presidential elections were held in Poland on 18 May 2025. As no candidate received a majority of the vote, a second round was held on 1 June 2025. Incumbent president Andrzej Duda was ineligible for re-election to a third term. The second round was won by conservative Institute of National Remembrance director Karol Nawrocki, with 50.89% of the vote, who was backed by the Law and Justice (PiS) party. Nawrocki defeated the progressive-liberal Mayor of Warsaw, Rafał Trzaskowski, who received 49.11% of the vote, nominated for the second time by the Civic Coalition (KO). It was the third consecutive victory for a candidate supported by Law and Justice in the presidential elections."
https://en.wikipedia.org/wiki/2025_FIVB_Men%27s_Volleyball_World_Championship,"The 2025 FIVB Men's Volleyball World Championship was the 21st staging of the FIVB Men's Volleyball World Championship, contested by the senior men's national teams of the members of the Fédération Internationale de Volleyball (FIVB). It took place in two cities of the Philippines from 12 to 28 September 2025, and the first edition under the two-year cycles in odd-numbered years with an expanded format featuring 32 teams."
https://en.wikipedia.org/wiki/2025_Chilean_general_election,"General elections were held in Chile on 16 November 2025.[1][2] Voters went to the polls to elect the 38th president of Chile, renew all 155 seats in the Chamber of Deputies, and fill 23 of the 50 seats in the Senate. Republican Party candidate José Antonio Kast defeated Communist Party member Jeannette Jara in a runoff election on 14 December."
https://en.wikipedia.org/wiki/Junior_Eurovision_Song_Contest_2025,"The Junior Eurovision Song Contest 2025 was the 23rd edition of the Junior Eurovision Song Contest, held on 13 December 2025 at the Gymnastic Hall of Olympic City in Tbilisi, Georgia. It was organised by the European Broadcasting Union (EBU) and host broadcaster Georgian Public Broadcaster (GPB), which staged the event after winning the 2024 contest for Georgia with the song ""To My Mom"" by Andria Putkaradze."
https://en.wikipedia.org/wiki/December_2025_Kosovan_parliamentary_election,"Parliamentary elections were held in Kosovo on 28 December 2025 to elect the 120 members of the Assembly. In the previous election in February 2025, no party had won a majority of seats, resulting in a hung parliament with Vetëvendosje, party of Prime Minister Albin Kurti, remaining the largest party.[1][2]
The result was a decisive victory for Vetëvendosje, which gained nine seats, winning 57 in total, just four short of an outright majority.[3]"
https://en.wikipedia.org/wiki/2025_World_Women%27s_Handball_Championship,"The 2025 IHF Women's Handball World Championship was the 27th edition of the IHF World Women's Handball Championship, the biennial international handball championship organised under the aegis of IHF for the women's national teams across the world. The tournament was held from 26 November to 14 December 2025.
The championship was jointly hosted by Germany and the Netherlands. It was the fourth time in history that the championship was jointly hosted.[1] The final was held in Ahoy Arena."
https://en.wikipedia.org/wiki/2025_G20_Johannesburg_summit,"The 2025 G20 Johannesburg summit was the twentieth meeting of the Group of Twenty (G20), a Head of State and Government meeting held at the Johannesburg Expo Centre, Johannesburg, South Africa on 22–23 November 2025. It was the first G20 summit to take place on the African continent.[1][2][3] It was also notable for the non-attendance by the top leaders of several major economies, including Chinese leader Xi Jinping and Russian president Vladimir Putin, although they did send participating delegations. The United States did not participate in the summit, despite being a G20 member."
https://en.wikipedia.org/wiki/2025%E2%80%9326_Syrian_parliamentary_election,"Parliamentary elections were held in Syria in 2025 and 2026, with further planned to be held in 2026, to elect 140 of the 210 members of the People's Assembly of Syria, the unicameral legislature of Syria. The election was the first held since the fall of the Assad regime in December 2024 and was conducted under the authority of the Syrian transitional government led by President Ahmed al-Sharaa. The election was held in multiple waves, with 119 MPs elected on election day, with 7 MPs being elected in subsequent by-elections. As of April 2026, 11 seats are currently vacant, excluding seats directly appointed by the president."
https://en.wikipedia.org/wiki/2024_YR4,"2024 YR4 is an asteroid with an estimated diameter of 53 to 67 metres (174 to 220 ft)[7] that is classified as an Apollo-type (Earth-crossing) near-Earth object. From 27 January to 20 February 2025, it had an impact rating of 3 on the Torino scale, reflecting its size and an estimated probability greater than 1% that it would impact Earth on 22 December 2032. The estimated impact probability peaked at 3.1% on 18 February 2025. By 23 February, additional observations effectively ruled out 2024 YR4 impacting Earth in 2032 and lowered its Torino rating to 0. "
https://en.wikipedia.org/wiki/GPT-4.5,"GPT-4.5 (codenamed ""Orion"")[2] is a large language model developed by OpenAI as part of the GPT series. Officially released on February 27, 2025, GPT-4.5 is available to users subscribed to the ChatGPT Plus and Pro plans across web, mobile, and desktop platforms.[3] Access was also provided through the OpenAI API and Developer Playground until July 14, 2025.[4][5][6] On August 7, 2025, with the release of GPT-5, GPT-4.5 was removed from both the API and ChatGPT users with the Plus and Teams tier, while Pro users are still able to access to GPT-4.5 model under the ""Legacy Models"" tab.[7]"
https://en.wikipedia.org/wiki/Veo_(text-to-video_model),"Veo, or Google Veo, is a text-to-video model developed by Google DeepMind and announced in May 2024. As a generative AI model, it creates videos based on user prompts. Veo 3, released in May 2025, can also generate accompanying audio."
https://en.wikipedia.org/wiki/Europa_Clipper,"Europa Clipper (previously known as the Europa Multiple Flyby Mission) is a space probe developed by NASA to study Europa, a Galilean moon of Jupiter. Launched by a Falcon Heavy on October 14, 2024,[14] the probe is planned to enter Jupiter orbit in April 2030 and conduct a series of flybys of Europa from March 2031.[15][16][17] Europa Clipper is the largest interplanetary spacecraft ever launched by NASA.[18] The mission used a gravity assist from Mars in March 2025,[9] and will use an assist from Earth in December 2026.[10]"
https://en.wikipedia.org/wiki/Interstellar_Mapping_and_Acceleration_Probe,The Interstellar Mapping and Acceleration Probe (IMAP) is a heliophysics mission that will simultaneously investigate two important and coupled science topics in the heliosphere: the acceleration of energetic particles and interaction of the solar wind with the local interstellar medium. These science topics are coupled because particles accelerated in the inner heliosphere play crucial roles in the outer heliospheric interaction. 
https://en.wikipedia.org/wiki/CRISPR_gene_editing,"CRISPR gene editing (/ˈkrɪspər/; pronounced like ""crisper""; an abbreviation for ""clustered regularly interspaced short palindromic repeats"") is a genetic engineering technique in molecular biology by which the genomes of living organisms may be modified. It is based on a simplified version of the bacterial CRISPR-Cas9 antiviral defense system."
https://en.wikipedia.org/wiki/Artificial_Intelligence_Act,"The Artificial Intelligence Act (AI Act)[1] is a European Union regulation concerning artificial intelligence (AI). It establishes a common regulatory and legal framework for AI within the European Union (EU).[2] The regulation entered into force on 1 August 2024,[3] with provisions that shall come into operation gradually over the following 6 to 36 months.[4]"
https://en.wikipedia.org/wiki/Stand_Up_for_Science_2025,"Stand Up for Science are a series of protests that first occurred on March 7, 2025, and then again March 7, 2026.[1] It is now also a 501(c)(4) non-profit organization formed in February 2025 as an endeavor to combat policy changes administered in Donald Trump's second term as president. The Stand Up for Science non-profit organized the Bethesda Declaration, the EPA Letter of Dissent and the NASA Voyager Declaration."
https://en.wikipedia.org/wiki/Online_Safety_Amendment_(Social_Media_Minimum_Age)_Act_2024,The Online Safety Amendment (Social Media Minimum Age) Act 2024 is an Australian act of parliament that prohibits minors under the age of 16 from holding an account on certain social media platforms. It is an amendment to the Online Safety Act 2021 and was passed by the Parliament of Australia on 29 November 2024. It imposes monetary penalties on social media companies that fail to take reasonable steps to prevent minors under 16 that are located in Australia from having accounts on their services.
https://en.wikipedia.org/wiki/2025_United_Nations_Climate_Change_Conference,"The 2025 United Nations Climate Change Conference or Conference of the Parties to the UNFCCC, more commonly known as COP30, was the 30th session of the United Nations Climate Change Conference. It was held at the Hangar Convention Centre [pt] in Belém, Brazil, from 10 to 21 November 2025.[1]
Agreeing on an explicit plan or roadmap for phasing out fossil fuels was the most contentious issue. Oil producing nations blocked any binding language so the COP30 president, André Corrêa do Lago, announced two voluntary roadmaps outside the formal UN process."
https://en.wikipedia.org/wiki/Expo_2025,"Expo 2025 (2025年日本国際博覧会, Nisennijūgo-nen Nippon Kokusai Hakurankai; and officially 大阪・関西万博, Ōsaka–Kansai Banpaku for short) was a World Expo organized and sanctioned by the Bureau International des Expositions (BIE), which was held in Osaka, Japan. It was open for six months, from 13 April to 13 October 2025.[1] This was the second time that Osaka Prefecture has hosted a World Expo, having previously hosted Expo 1970 in Suita. Expo 2025 marked the return to the traditional 5-year scheduling cycle after the 2020 edition in Dubai was delayed to 2021 due to the COVID-19 pandemic.[2] The total visitor count was 29,017,924 (paid attendance 25,578,986).[3][4][5]"
https://en.wikipedia.org/wiki/2026_Winter_Olympics,"The 2026 Winter Olympics (Italian: Olimpiadi invernali del 2026), officially the XXV Olympic Winter Games and commonly known as Milano Cortina 2026, were an international winter multi-sport event held from 6 to 22 February 2026 at multiple sites across Lombardy and Northeast Italy, with competition in selected events beginning on 4 February 2026. Featuring the debut of ski mountaineering as a Winter Olympic event,[7] Milano Cortina 2026 was the first Olympic Games under the IOC presidency of Kirsty Coventry.[8]"
https://en.wikipedia.org/wiki/2026_FIFA_World_Cup,"The 2026 FIFA World Cup[A] will be the 23rd FIFA World Cup, the quadrennial international men's soccer championship contested by the national teams of the member associations of FIFA. The tournament will take place from June 11 to July 19, 2026.[2] It will be jointly hosted by sixteen cities—eleven in the United States, three in Mexico, and two in Canada. The tournament will be the first FIFA World Cup to be hosted by three nations, and the first to include 48 teams, an expansion from 32."
https://en.wikipedia.org/wiki/Dragonfly_(Titan_space_probe),"Dragonfly is an upcoming NASA mission to send a robotic rotorcraft to the surface of Titan, the largest moon of Saturn. It is to be launched in July 2028 and planned to arrive in 2034. If it is successful, it will be the first aircraft on Titan and is intended to make the first powered and fully controlled atmospheric flight on any natural satellite, with the intention of studying prebiotic chemistry and extraterrestrial habitability. It will then use its vertical takeoffs and landings (VTOL) capability to move between exploration sites.[7][8][9]"
https://en.wikipedia.org/wiki/Artemis_IV,"Artemis IV is planned to be the third crewed mission and the first Moon landing in NASA's Artemis lunar exploration program, marking the first crewed Moon landing since Apollo 17 in 1972.
For this mission, a Space Launch System (SLS) rocket will send an Orion spacecraft carrying the four astronaut crew members to lunar orbit. The mission depends on a prior support flight to place a lunar lander—either SpaceX's Starship HLS or Blue Origin's Blue Moon—into lunar orbit before the crew launch."
https://en.wikipedia.org/wiki/Venice_Biennale_of_Architecture,"The Venice Biennale of Architecture (Italian: Mostra di Architettura di Venezia) is an international exhibition showcasing architectural works from around the world, held in Venice, Italy, every other year.[1]
Originally held in even-numbered years until 2018, the event was postponed in 2020 due to the COVID-19 pandemic and rescheduled for 2021, shifting the calendar to odd-numbered years. It forms the architecture section of the broader Venice Biennale and was officially established in 1980, although architecture had been included in the Venice Art Biennale since 1968.[1]"
https://en.wikipedia.org/wiki/International_Year_of_Quantum_Science_and_Technology,The International Year of Quantum Science and Technology (IYQ) was a United Nations observance in 2025 that aimed to highlight the contributions of quantum science and practical applications of quantum technology.[1][2][3] It was celebrated in the hundredth anniversary of the reformulation of quantum mechanics by Werner Heisenberg.
https://en.wikipedia.org/wiki/2025_Nobel_Prize_in_Literature,"The 2025 Nobel Prize in Literature was awarded to the Hungarian novelist László Krasznahorkai (born 1954) ""for his compelling and visionary oeuvre that, in the midst of apocalyptic terror, reaffirms the power of art."" He is the second Hungarian Nobel laureate in Literature after Imre Kertész in 2002."
https://en.wikipedia.org/wiki/2025_Nobel_Peace_Prize,"The 2025 Nobel Peace Prize, an international peace prize established according to the will of Alfred Nobel,[2] was announced on 10 October 2025 by the Norwegian Nobel Committee in Oslo, Norway. It was awarded to María Corina Machado of Venezuela. The prize was presented at the ceremony on 10 December 2025 in Oslo, given to her daughter on her behalf.[3][4] The Norwegian Nobel Committee praised her as ""one of the most extraordinary examples of civilian courage in Latin America in recent times"".[5]"
